result_id,canonical_event_id,division_raw,place,player_name_raw,person_id,person_canon,resolution_status,source_type
f25ed8fc0d,1983_worlds_nhsa,Open Dbls Net,3,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
4242fb6a3f,1983_worlds_nhsa,Mixed Dbls Net,1,Lori Jean Tarr,77f0f32d-98bf-5742-8228-4e06ac07bd9d,Lori Jean Conover,MATCHED,FBW
4242fb6a3f,1983_worlds_nhsa,Mixed Dbls Net,1,Bruce Guettich,886e5b99-bd46-5707-a490-a2e938b09a35,Bruce Guettich,MATCHED,FBW
bd781aaad0,1983_worlds_nhsa,Mixed Dbls Net,2,Shannon Aubin,4667c817-96f6-5e6e-b3ab-46ecd390dc0e,Shannon Aubin,MATCHED,FBW
bd781aaad0,1983_worlds_nhsa,Mixed Dbls Net,2,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
5874e1bf64,1983_worlds_nhsa,Mixed Dbls Net,3,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
5874e1bf64,1983_worlds_nhsa,Mixed Dbls Net,3,Tim Fitzgerald,b54020bc-1a1a-5d23-89e1-34617b3514fa,Jim Fitzgerald,MATCHED,FBW
79878edcf8,1983_worlds_nhsa,Open Sgls Freestyle,1,Jack Schoolcraft,b7c2a69b-7547-5ee6-936e-b675c748d131,Jack Schoolcraft,MATCHED,FBW
bb2bdb9655,1983_worlds_nhsa,Open Sgls Freestyle,2,Jim Caveney,df329352-6f3b-5e98-b23b-1af6737d100b,Jimmy Caveney,MATCHED,FBW
f3e4c16336,1983_worlds_nhsa,Open Sgls Freestyle,3,Bill Bethurum,67af5b3f-6e16-530a-8841-409debf11fb0,Bill Bethurum,MATCHED,FBW
7ba709391b,1983_worlds_nhsa,Open Team Freestyle,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
7ba709391b,1983_worlds_nhsa,Open Team Freestyle,1,Gary Laut,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,Gary Lautt,AUTOACCEPTED,FBW
7ba709391b,1983_worlds_nhsa,Open Team Freestyle,1,Jim Caveney,df329352-6f3b-5e98-b23b-1af6737d100b,Jimmy Caveney,MATCHED,FBW
244d6dfb22,1983_worlds_nhsa,Open Team Freestyle,2,Kevin Courtney,eb40c6a6-7e80-5190-b77d-47a47735bc0b,Kevin Courtney,MATCHED,FBW
244d6dfb22,1983_worlds_nhsa,Open Team Freestyle,2,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
244d6dfb22,1983_worlds_nhsa,Open Team Freestyle,2,Reed Gray,b5d49246-d1b4-5540-a92d-72d26e6b1d0b,Reed Gray,MATCHED,FBW
da78f9c7c0,1983_worlds_nhsa,Open Team Freestyle,3,Robert Conover,282ea81a-5815-5a15-9842-ee2ad6e2047e,Robert Conover,MATCHED,FBW
da78f9c7c0,1983_worlds_nhsa,Open Team Freestyle,3,Jim Fitzgerald,b54020bc-1a1a-5d23-89e1-34617b3514fa,Jim Fitzgerald,MATCHED,FBW
c53ba9c763,1983_worlds_nhsa,Open Sgls Consecutive,1,Jack Schoolcraft,b7c2a69b-7547-5ee6-936e-b675c748d131,Jack Schoolcraft,MATCHED,FBW
09a648931b,1983_worlds_nhsa,Open Golf,1,Mike Harding,d75b5871-83c1-5284-b09d-a5eb5d4377dd,Mike Harding,MATCHED,FBW
92050a27bc,1983_worlds_nhsa,Open Golf,2,Tim Mackey,5e46bdbe-bbbb-5cca-aacb-d5edf9bf2540,Tim Mackey,MATCHED,FBW
11aadc2902,1983_worlds_nhsa,Open Golf,3,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
56f1486137,1983_worlds_wfa,Open Sgls Net,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
30f480459f,1983_worlds_wfa,Open Sgls Net,2,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
c96d2d93b1,1983_worlds_wfa,Open Sgls Net,3,Steve Fennell,fb605451-fa41-5e6d-ad21-1b541b3fc82b,Steve Fennell,MATCHED,FBW
aef0975903,1983_worlds_wfa,Open Dbls Net,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
aef0975903,1983_worlds_wfa,Open Dbls Net,1,Mike Harding,d75b5871-83c1-5284-b09d-a5eb5d4377dd,Mike Harding,MATCHED,FBW
ee27ec484c,1983_worlds_wfa,Open Dbls Net,2,Dave Hill,5cb79fb4-ab20-558f-b4a2-e7206c9f22df,Dave Hill,MATCHED,FBW
ee27ec484c,1983_worlds_wfa,Open Dbls Net,2,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
18784d3a47,1983_worlds_wfa,Open Dbls Net,3,Bob Swerdlick,4a680cee-eee2-5f29-9637-86075d66581c,Bob Swerdlick,MATCHED,FBW
18784d3a47,1983_worlds_wfa,Open Dbls Net,3,Mike Puderbaugh,38df5c50-08d9-5706-90e5-464508ea0962,Mike Puderbaugh,MATCHED,FBW
2cfcf50581,1983_worlds_wfa,Women's Sgls Net,1,Lori Jean Tarr,77f0f32d-98bf-5742-8228-4e06ac07bd9d,Lori Jean Conover,MATCHED,FBW
72db0e5877,1983_worlds_wfa,Women's Sgls Net,2,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
5a3a7abe3b,1983_worlds_wfa,Women's Sgls Net,3,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
1f67f0c371,1983_worlds_wfa,Women's Dbls Net,1,Lori Jean Tarr,77f0f32d-98bf-5742-8228-4e06ac07bd9d,Lori Jean Conover,MATCHED,FBW
1f67f0c371,1983_worlds_wfa,Women's Dbls Net,1,Rita Buckley,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,Rita Buckley,MATCHED,FBW
e519f2aaa8,1983_worlds_wfa,Women's Dbls Net,2,Shannon Aubin,4667c817-96f6-5e6e-b3ab-46ecd390dc0e,Shannon Aubin,MATCHED,FBW
e519f2aaa8,1983_worlds_wfa,Women's Dbls Net,2,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
478f6e64b7,1983_worlds_wfa,Women's Dbls Net,3,Karin Atogpian,86de3135-51c7-5ad5-9144-112f984acd3f,Karen Atgopian,NEW_PLAYER,FBW
478f6e64b7,1983_worlds_wfa,Women's Dbls Net,3,Constance Constable,826201f8-2540-5663-9bbf-239e94ccee43,Constance Constable,MATCHED,FBW
30722f65b5,1983_worlds_wfa,Mixed Dbls Net,1,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
30722f65b5,1983_worlds_wfa,Mixed Dbls Net,1,Constance Constable,826201f8-2540-5663-9bbf-239e94ccee43,Constance Constable,MATCHED,FBW
c7bf90d101,1983_worlds_wfa,Mixed Dbls Net,2,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
c7bf90d101,1983_worlds_wfa,Mixed Dbls Net,2,Jody Grace,73728c19-e412-5006-aa48-1d2685a77f7e,Judy Grace,MATCHED,FBW
c007d6733b,1983_worlds_wfa,Mixed Dbls Net,3,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
c007d6733b,1983_worlds_wfa,Mixed Dbls Net,3,Constance Constable,826201f8-2540-5663-9bbf-239e94ccee43,Constance Constable,MATCHED,FBW
e411db61e7,1983_worlds_wfa,Open Sgls Freestyle,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
bc8c601231,1983_worlds_wfa,Open Team Freestyle,1,Gary Laut,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,Gary Lautt,AUTOACCEPTED,FBW
bc8c601231,1983_worlds_wfa,Open Team Freestyle,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
bc8c601231,1983_worlds_wfa,Open Team Freestyle,1,Jim Caveney,df329352-6f3b-5e98-b23b-1af6737d100b,Jimmy Caveney,MATCHED,FBW
bc8c601231,1983_worlds_wfa,Open Team Freestyle,1,Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,MATCHED,FBW
7b716dc32f,1983_worlds_wfa,Open Team Freestyle,2,Jack Schoolcraft,b7c2a69b-7547-5ee6-936e-b675c748d131,Jack Schoolcraft,MATCHED,FBW
7b716dc32f,1983_worlds_wfa,Open Team Freestyle,2,Will Squire,a6ba539d-a3b1-5685-ba8f-f537731bc96d,Will Squire,MATCHED,FBW
70305348fe,1983_worlds_wfa,Open Sgls Consecutive,1,Andy Linder,64a7a989-aa2c-5a58-b141-e8378be4a962,Andy Linder,MATCHED,FBW
49d69f136c,1983_worlds_wfa,Open Golf,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
3ddbe28d53,1983_worlds_wfa,Open Golf,2,?,,,UNRESOLVED,FBW
3be65a8b51,1983_worlds_wfa,Open Golf,3,?,,,UNRESOLVED,FBW
6028337f94,1984_wfa_nationals,Men's Overall,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
3bfec0b873,1984_wfa_nationals,Women's Overall,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
844292e07d,1984_wfa_nationals,Open Sgls Net,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
6096159dce,1984_wfa_nationals,Open Sgls Net,2,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
5b6ecdc054,1984_wfa_nationals,Open Sgls Net,3,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
c8ad9090d2,1984_wfa_nationals,Open Dbls Net,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
c8ad9090d2,1984_wfa_nationals,Open Dbls Net,1,Billy Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,Bill Hayne,AUTOACCEPTED,FBW
7625531637,1984_wfa_nationals,Open Dbls Net,2,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
7625531637,1984_wfa_nationals,Open Dbls Net,2,Mike Harding,d75b5871-83c1-5284-b09d-a5eb5d4377dd,Mike Harding,MATCHED,FBW
83c9548cdd,1984_wfa_nationals,Open Dbls Net,3,Jim Caveney,df329352-6f3b-5e98-b23b-1af6737d100b,Jimmy Caveney,MATCHED,FBW
83c9548cdd,1984_wfa_nationals,Open Dbls Net,3,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
e74ee0089e,1984_wfa_nationals,Women's Sgls Net,1,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
b694daa76e,1984_wfa_nationals,Women's Sgls Net,2,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
d531446133,1984_wfa_nationals,Women's Sgls Net,3,Trudy Archdale,3b25f805-f97e-528c-915d-3647ecaa8914,Trudy Archdale,MATCHED,FBW
fe6a936768,1984_wfa_nationals,Women's Dbls Net,1,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
fe6a936768,1984_wfa_nationals,Women's Dbls Net,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
62dfbf940e,1984_wfa_nationals,Women's Dbls Net,2,Constance Constable,826201f8-2540-5663-9bbf-239e94ccee43,Constance Constable,MATCHED,FBW
62dfbf940e,1984_wfa_nationals,Women's Dbls Net,2,Jenny Davidson,3f48caf5-14c9-59f1-8255-1db7ef2fd049,Jenny Davison,MATCHED,FBW
9ba0ac45d0,1984_wfa_nationals,Women's Dbls Net,3,Jodi Sebastian,2224d6ba-5be4-56a5-90e1-aaa61a15bcb0,Jodi Sebastian,MATCHED,FBW
9ba0ac45d0,1984_wfa_nationals,Women's Dbls Net,3,Shannon Aubin,4667c817-96f6-5e6e-b3ab-46ecd390dc0e,Shannon Aubin,MATCHED,FBW
d707fe1939,1984_wfa_nationals,Mixed Dbls Net,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
d707fe1939,1984_wfa_nationals,Mixed Dbls Net,1,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
f52bc1c937,1984_wfa_nationals,Mixed Dbls Net,2,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
f52bc1c937,1984_wfa_nationals,Mixed Dbls Net,2,Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,MATCHED,FBW
62e303cd41,1984_wfa_nationals,Mixed Dbls Net,3,Cheryl Hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,Cheryl Hughes,MATCHED,FBW
62e303cd41,1984_wfa_nationals,Mixed Dbls Net,3,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
a5effdf8e7,1984_wfa_nationals,Open Sgls Freestyle,1,Andy Linder,64a7a989-aa2c-5a58-b141-e8378be4a962,Andy Linder,MATCHED,FBW
cc99d1b3b0,1984_wfa_nationals,Open Sgls Freestyle,2,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
8f81de21d6,1984_wfa_nationals,Open Sgls Freestyle,3,Jack Schoolcraft,b7c2a69b-7547-5ee6-936e-b675c748d131,Jack Schoolcraft,MATCHED,FBW
2e69bf2265,1984_wfa_nationals,Open Team Freestyle,1,Jim Fitzgerald,b54020bc-1a1a-5d23-89e1-34617b3514fa,Jim Fitzgerald,MATCHED,FBW
2e69bf2265,1984_wfa_nationals,Open Team Freestyle,1,Jack Schoolcraft,b7c2a69b-7547-5ee6-936e-b675c748d131,Jack Schoolcraft,MATCHED,FBW
518e3edc68,1984_wfa_nationals,Open Team Freestyle,2,Gary Laut,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,Gary Lautt,AUTOACCEPTED,FBW
518e3edc68,1984_wfa_nationals,Open Team Freestyle,2,Jim Caveney,df329352-6f3b-5e98-b23b-1af6737d100b,Jimmy Caveney,MATCHED,FBW
518e3edc68,1984_wfa_nationals,Open Team Freestyle,2,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
dd2156def6,1984_wfa_nationals,Open Team Freestyle,3,Scott Cleere,777d9449-6e41-5985-bb7d-cdaf8647ef9c,Scott Cleere,MATCHED,FBW
dd2156def6,1984_wfa_nationals,Open Team Freestyle,3,Bill Bethurum,67af5b3f-6e16-530a-8841-409debf11fb0,Bill Bethurum,MATCHED,FBW
0633df218b,1984_wfa_nationals,Women's Team Freestyle,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
0633df218b,1984_wfa_nationals,Women's Team Freestyle,1,Jodi Sebastian,2224d6ba-5be4-56a5-90e1-aaa61a15bcb0,Jodi Sebastian,MATCHED,FBW
428d87e172,1984_wfa_nationals,Women's Team Freestyle,2,Suzanne Beauchemin,3c09d4cc-2da9-5e1f-8a4c-e44ca0542f82,Suzanne Beauchemin,MATCHED,FBW
428d87e172,1984_wfa_nationals,Women's Team Freestyle,2,Constance Constable,826201f8-2540-5663-9bbf-239e94ccee43,Constance Constable,MATCHED,FBW
7d8692ded8,1984_wfa_nationals,Women's Team Freestyle,3,Jenny Davidson,3f48caf5-14c9-59f1-8255-1db7ef2fd049,Jenny Davison,MATCHED,FBW
7d8692ded8,1984_wfa_nationals,Women's Team Freestyle,3,Ruth Osterman,a10fa54f-eadb-5842-8df1-fdca1920e7e7,Ruth Osterman,MATCHED,FBW
334ea887e2,1984_wfa_nationals,Open Sgls Consecutive,1,Pat Castle,fb644300-e5a4-51ca-962f-e59dad795b03,Pat Castle,MATCHED,FBW
0a944f1ff2,1984_wfa_nationals,Open Golf,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
e84423cbcc,1984_wfa_nationals,Open Golf,2,Tim Mackey,5e46bdbe-bbbb-5cca-aacb-d5edf9bf2540,Tim Mackey,MATCHED,FBW
dd9b2f1b67,1984_wfa_nationals,Open Golf,3,Tobin Wigger,f38e2f8e-cba6-5fff-8b20-90791fd0d794,Torben Wigger,MATCHED,FBW
d3aaf6bc07,1985_wfa_nationals,Men's Overall,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
0a98adc065,1985_wfa_nationals,Women's Overall,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
22af5de874,1985_wfa_nationals,Open Sgls Net,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
2ccaf54736,1985_wfa_nationals,Open Sgls Net,2,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
7ba60e1fdb,1985_wfa_nationals,Open Sgls Net,3,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
4cbf7010bc,1985_wfa_nationals,Open Dbls Net,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
4cbf7010bc,1985_wfa_nationals,Open Dbls Net,1,Mike Harding,d75b5871-83c1-5284-b09d-a5eb5d4377dd,Mike Harding,MATCHED,FBW
c8b42b5066,1985_wfa_nationals,Open Dbls Net,2,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
c8b42b5066,1985_wfa_nationals,Open Dbls Net,2,Billy Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,Bill Hayne,AUTOACCEPTED,FBW
9cb35882ec,1985_wfa_nationals,Open Dbls Net,3,Jim Caveney,df329352-6f3b-5e98-b23b-1af6737d100b,Jimmy Caveney,MATCHED,FBW
9cb35882ec,1985_wfa_nationals,Open Dbls Net,3,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
578d8c715d,1985_wfa_nationals,Women's Sgls Net,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
2c75b7b169,1985_wfa_nationals,Women's Sgls Net,2,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
4d64d3a78d,1985_wfa_nationals,Women's Sgls Net,3,Trudy Archdale,3b25f805-f97e-528c-915d-3647ecaa8914,Trudy Archdale,MATCHED,FBW
2224538390,1985_wfa_nationals,Women's Dbls Net,1,Nancy Reynolds,eccb075a-3997-5288-a805-774d358f5656,Nancy Reynolds,MATCHED,FBW
2224538390,1985_wfa_nationals,Women's Dbls Net,1,Tricia George,26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,MATCHED,FBW
3cc053933b,1985_wfa_nationals,Women's Dbls Net,2,Constance Constable,826201f8-2540-5663-9bbf-239e94ccee43,Constance Constable,MATCHED,FBW
3cc053933b,1985_wfa_nationals,Women's Dbls Net,2,Trudy Archdale,3b25f805-f97e-528c-915d-3647ecaa8914,Trudy Archdale,MATCHED,FBW
423392d4af,1985_wfa_nationals,Women's Dbls Net,3,Linda Burt,669a3821-2547-5215-9edd-7965ff400e69,Linda Burt,MATCHED,FBW
